Frame,Agent_ID,Pos_X,Pos_Y,Velocity,Status,Min_Neighbor_Dist
0,0,12.18,362.18,0.45,Moving,25.31
0,1,37.49,362.05,0.45,Moving,25.01
0,2,62.50,362.05,0.45,Moving,25.01
0,3,87.82,362.18,0.45,Moving,25.31
0,4,12.05,387.49,0.45,Moving,25.13
0,5,37.18,387.18,0.45,Moving,24.90
0,6,62.08,387.33,0.45,Moving,24.90
0,7,87.95,387.50,0.45,Moving,25.31
0,8,12.18,412.82,0.45,Moving,25.32
0,9,37.50,412.95,0.45,Moving,25.01
0,10,62.51,412.95,0.45,Moving,25.01
0,11,87.82,412.82,0.45,Moving,25.31
1,0,11.69,361.53,0.81,Moving,25.91
1,1,37.63,361.14,0.92,Moving,25.04
1,2,62.67,361.13,0.93,Moving,25.04
1,3,88.61,361.52,1.04,Moving,25.89
1,4,11.29,387.44,0.76,Moving,25.29
1,5,36.57,386.72,0.76,Moving,24.79
1,6,61.37,387.06,0.77,Moving,24.79
1,7,88.97,387.40,1.03,Moving,25.89
1,8,11.70,413.49,0.83,Moving,25.95
1,9,37.65,413.88,0.94,Moving,25.05
1,10,62.70,413.88,0.95,Moving,25.05
1,11,88.59,413.51,1.04,Moving,25.90
2,0,11.01,360.60,1.16,Moving,26.78
2,1,37.84,359.80,1.35,Moving,25.16
2,2,63.00,359.78,1.39,Moving,25.16
2,3,89.86,360.51,1.61,Moving,26.72
2,4,10.23,387.37,1.06,Moving,25.46
2,5,35.67,386.25,1.02,Moving,24.71
2,6,60.37,386.90,1.01,Moving,24.71
2,7,90.54,387.22,1.58,Moving,26.72
2,8,11.03,414.46,1.18,Moving,26.87
2,9,37.89,415.24,1.38,Moving,25.18
2,10,63.07,415.26,1.42,Moving,25.18
2,11,89.82,414.57,1.62,Moving,26.76
3,0,10.10,359.43,1.48,Moving,27.90
3,1,38.03,358.11,1.71,Moving,25.45
3,2,63.48,358.05,1.80,Moving,25.45
3,3,91.41,359.24,2.00,Moving,27.82
3,4,8.87,387.31,1.36,Moving,25.63
3,5,34.46,385.82,1.28,Moving,24.75
3,6,59.18,387.01,1.19,Moving,24.75
3,7,92.53,387.04,2.00,Moving,27.82
3,8,10.13,415.66,1.50,Moving,28.03
3,9,38.12,416.97,1.75,Moving,25.51
3,10,63.63,417.03,1.86,Moving,25.51
3,11,91.35,415.87,2.00,Moving,27.74
4,0,8.93,358.10,1.77,Moving,29.23
4,1,38.09,356.12,1.98,Moving,25.98
4,2,64.07,356.14,2.00,Moving,25.98
4,3,92.81,357.85,1.98,Moving,28.79
4,4,7.21,387.31,1.66,Moving,25.81
4,5,32.95,385.38,1.57,Moving,25.10
4,6,57.97,387.49,1.30,Moving,25.10
4,7,94.50,387.11,1.97,Moving,29.31
4,8,8.97,417.03,1.79,Moving,29.29
4,9,38.19,418.97,2.00,Moving,26.08
4,10,64.27,418.92,2.00,Moving,26.08
4,11,92.79,417.23,1.98,Moving,28.57
5,0,7.50,356.70,2.00,Moving,30.70
5,1,38.09,354.18,1.94,Moving,26.73
5,2,64.82,354.35,1.94,Moving,26.73
5,3,94.51,356.79,2.00,Moving,29.79
5,4,5.27,387.40,1.94,Moving,26.02
5,5,31.16,384.82,1.88,Moving,26.02
5,6,57.34,387.86,0.73,Moving,26.36
5,7,96.44,386.61,2.00,Moving,29.87
5,8,7.57,418.45,2.00,Moving,30.72
5,9,38.19,420.89,1.92,Moving,26.82
5,10,65.01,420.72,1.94,Moving,26.82
5,11,94.46,418.33,2.00,Moving,29.55
6,0,6.23,355.33,1.87,Moving,32.30
6,1,38.39,352.20,2.00,Moving,27.12
6,2,65.50,352.47,2.00,Moving,27.12
6,3,96.01,355.51,1.97,Moving,30.66
6,4,3.32,387.60,1.97,Moving,26.55
6,5,29.70,384.65,1.47,Moving,26.55
6,6,57.20,387.90,0.14,Moving,27.70
6,7,98.31,386.41,1.88,Moving,30.99
6,8,6.36,419.90,1.88,Moving,31.69
6,9,37.95,422.45,1.58,Moving,27.61
6,10,65.56,422.64,2.00,Moving,27.61
6,11,95.94,419.66,1.99,Moving,30.52
7,0,4.75,353.98,2.00,Moving,33.79
7,1,38.34,350.29,1.92,Moving,28.23
7,2,66.56,351.06,1.77,Moving,28.23
7,3,97.57,354.26,2.00,Moving,31.17
7,4,1.39,387.63,1.92,Moving,27.47
7,5,28.63,384.09,1.20,Moving,27.47
7,6,57.65,387.91,0.45,Moving,29.27
7,7,100.14,386.52,1.84,Moving,32.37
7,8,4.90,421.26,2.00,Moving,32.69
7,9,37.50,423.69,1.32,Moving,29.10
7,10,66.59,424.19,1.86,Moving,29.10
7,11,97.65,420.69,2.00,Moving,31.26
8,0,3.60,352.49,1.89,Moving,34.65
8,1,38.04,348.70,1.62,Moving,30.01
8,2,68.02,350.09,1.74,Moving,30.01
8,3,99.10,353.01,1.98,Moving,31.22
8,4,-0.29,387.19,1.74,Moving,28.57
8,5,28.00,383.17,1.12,Moving,28.57
8,6,58.66,387.94,1.01,Moving,31.03
8,7,102.10,386.91,2.00,Moving,34.03
8,8,3.76,422.77,1.90,Moving,33.12
8,9,36.83,424.62,1.15,Moving,30.78
8,10,67.58,425.93,2.00,Moving,30.78
8,11,99.16,421.99,1.99,Moving,31.83
9,0,2.15,351.18,1.95,Moving,35.58
9,1,37.54,347.47,1.32,Moving,32.45
9,2,69.92,349.52,1.99,Moving,30.92
9,3,100.75,351.88,2.00,Moving,30.92
9,4,-2.00,387.15,1.70,Moving,30.24
9,5,27.79,381.90,1.28,Moving,30.24
9,6,60.20,388.01,1.54,Moving,32.98
9,7,104.04,387.15,1.95,Moving,35.42
9,8,2.56,423.86,1.62,Moving,33.47
9,9,36.00,425.22,1.02,Moving,32.33
9,10,68.24,427.70,1.88,Moving,32.33
9,11,100.87,422.74,1.87,Moving,33.01
10,0,0.86,349.91,1.82,Moving,36.12
10,1,36.82,346.55,1.17,Moving,34.65
10,2,71.39,349.00,1.55,Moving,31.28
10,3,102.58,351.32,1.92,Moving,31.28
10,4,-3.81,387.46,1.84,Moving,32.54
10,5,27.93,380.27,1.64,Moving,32.54
10,6,62.10,388.25,1.92,Moving,35.09
10,7,105.95,387.24,1.91,Moving,36.07
10,8,1.25,424.54,1.48,Moving,33.93
10,9,35.17,425.39,0.85,Moving,33.67
10,10,68.59,429.53,1.86,Moving,33.67
10,11,102.72,423.18,1.90,Moving,34.72
11,0,-0.29,348.67,1.69,Moving,36.46
11,1,36.01,345.28,1.51,Moving,34.49
11,2,72.55,348.50,1.27,Moving,32.09
11,3,104.54,351.06,1.97,Moving,32.09
11,4,-5.73,388.02,2.00,Moving,35.49
11,5,28.58,378.96,1.47,Moving,34.49
11,6,64.02,388.79,2.00,Moving,36.78
11,7,107.84,387.18,1.89,Moving,36.27
11,8,-0.21,424.90,1.51,Moving,34.28
11,9,34.07,425.44,1.11,Moving,34.28
11,10,68.67,431.49,1.97,Moving,35.13
11,11,104.55,423.78,1.92,Moving,36.69
12,0,-1.30,347.47,1.57,Moving,37.21
12,1,35.73,343.83,1.47,Moving,34.47
12,2,73.42,348.03,0.99,Moving,33.22
12,3,106.50,351.10,1.96,Moving,33.22
12,4,-7.51,388.53,1.85,Moving,36.90
12,5,29.37,377.71,1.47,Moving,34.47
12,6,65.94,389.18,1.95,Moving,38.32
12,7,109.70,386.97,1.87,Moving,36.02
12,8,-1.89,425.00,1.68,Moving,35.01
12,9,33.11,425.53,0.96,Moving,35.01
12,10,68.88,433.37,1.89,Moving,36.62
12,11,106.35,424.52,1.95,Moving,37.70
13,0,-2.16,346.31,1.45,Moving,38.33
13,1,35.95,342.16,1.68,Moving,34.83
13,2,73.98,347.58,0.72,Moving,34.70
13,3,108.47,351.42,2.00,Moving,34.70
13,4,-9.14,389.00,1.70,Moving,36.58
13,5,30.29,376.53,1.50,Moving,34.83
13,6,67.83,389.41,1.91,Moving,39.70
13,7,111.53,386.62,1.87,Moving,35.33
13,8,-3.43,425.13,1.54,Moving,35.73
13,9,32.30,425.64,0.82,Moving,35.73
13,10,69.21,435.17,1.83,Moving,38.13
13,11,108.12,425.41,1.99,Moving,38.94
14,0,-2.87,345.18,1.33,Moving,39.61
14,1,36.42,340.22,2.00,Moving,35.56
14,2,74.25,347.16,0.50,Moving,36.46
14,3,110.46,351.36,1.99,Moving,34.88
14,4,-10.63,389.42,1.55,Moving,36.33
14,5,31.34,375.41,1.53,Moving,35.56
14,6,69.72,389.50,1.89,Moving,40.88
14,7,113.34,386.12,1.87,Moving,34.88
14,8,-4.81,425.28,1.39,Moving,36.33
14,9,31.63,425.79,0.68,Moving,36.45
14,10,69.67,436.88,1.77,Moving,39.62
14,11,109.89,426.35,2.00,Moving,40.38
15,0,-3.44,344.09,1.23,Moving,40.85
15,1,37.00,338.38,1.93,Moving,36.26
15,2,74.67,346.72,0.61,Moving,37.65
15,3,112.09,350.86,1.70,Moving,34.75
15,4,-11.98,389.79,1.40,Moving,36.14
15,5,32.53,374.37,1.58,Moving,36.26
15,6,71.59,389.45,1.87,Moving,41.87
15,7,115.12,385.47,1.89,Moving,34.75
15,8,-6.04,425.45,1.25,Moving,36.14
15,9,31.12,425.97,0.55,Moving,37.16
15,10,70.25,438.50,1.72,Moving,41.09
15,11,111.65,427.29,2.00,Moving,41.96
16,0,-3.87,343.04,1.13,Moving,42.05
16,1,37.69,336.65,1.86,Moving,36.94
16,2,75.23,346.26,0.73,Moving,38.42
16,3,113.47,349.95,1.65,Moving,34.89
16,4,-13.19,390.12,1.25,Moving,36.03
16,5,33.85,373.39,1.64,Moving,36.94
16,6,73.44,389.24,1.87,Moving,42.64
16,7,116.87,384.68,1.92,Moving,34.89
16,8,-7.13,425.64,1.10,Moving,36.03
16,9,30.75,426.17,0.43,Moving,37.88
16,10,70.95,440.04,1.69,Moving,42.53
16,11,113.42,428.23,2.00,Moving,43.69
17,0,-4.15,342.03,1.05,Moving,43.20
17,1,38.48,335.03,1.81,Moving,37.59
17,2,75.95,345.79,0.86,Moving,38.80
17,3,114.63,348.84,1.60,Moving,35.12
17,4,-14.25,390.40,1.10,Moving,35.98
17,5,35.30,372.48,1.72,Moving,37.59
17,6,75.28,388.88,1.87,Moving,43.09
17,7,118.59,383.74,1.96,Moving,35.12
17,8,-8.07,425.85,0.96,Moving,35.98
17,9,30.52,426.41,0.33,Moving,38.59
17,10,71.77,441.49,1.67,Moving,43.92
17,11,115.18,429.17,2.00,Moving,45.13
18,0,-4.28,341.06,0.98,Moving,44.31
18,1,39.38,333.52,1.76,Moving,38.21
18,2,76.81,345.31,0.99,Moving,39.18
18,3,115.91,347.80,1.66,Moving,35.15
18,4,-15.18,390.63,0.95,Moving,36.00
18,5,36.89,371.64,1.80,Moving,38.21
18,6,77.10,388.37,1.89,Moving,43.07
18,7,120.29,382.68,2.00,Moving,35.15
18,8,-8.85,426.08,0.82,Moving,36.00
18,9,30.44,426.69,0.28,Moving,39.30
18,10,72.71,442.85,1.66,Moving,45.25
18,11,116.95,430.11,2.00,Moving,46.03
19,0,-4.27,340.13,0.93,Moving,45.37
19,1,40.38,332.11,1.73,Moving,38.80
19,2,77.82,344.81,1.13,Moving,39.53
19,3,117.33,346.83,1.72,Moving,35.10
19,4,-15.96,390.82,0.80,Moving,36.09
19,5,38.61,370.87,1.88,Moving,38.80
19,6,78.90,387.72,1.92,Moving,42.92
19,7,121.98,381.62,2.00,Moving,35.10
19,8,-9.49,426.33,0.69,Moving,36.09
19,9,30.51,426.99,0.31,Moving,40.01
19,10,73.78,444.12,1.66,Moving,46.53
19,11,118.71,431.05,2.00,Moving,46.80
20,0,-4.12,339.23,0.91,Moving,46.38
20,1,41.49,330.81,1.70,Moving,39.37
20,2,78.98,344.29,1.27,Moving,39.85
20,3,118.88,345.93,1.79,Moving,34.97
20,4,-16.59,390.96,0.65,Moving,36.25
20,5,40.46,370.17,1.98,Moving,39.37
20,6,80.69,386.91,1.96,Moving,42.66
20,7,123.68,380.57,2.00,Moving,34.97
20,8,-9.99,426.60,0.56,Moving,36.25
20,9,30.73,427.32,0.40,Moving,40.72
20,10,74.96,445.31,1.68,Moving,47.42
20,11,120.48,431.99,2.00,Moving,47.42
21,0,-3.82,338.38,0.90,Moving,47.33
21,1,42.69,329.62,1.70,Moving,39.87
21,2,80.30,343.76,1.41,Moving,39.90
21,3,120.18,344.87,1.67,Moving,35.03
21,4,-17.09,391.05,0.50,Moving,36.47
21,5,42.34,369.49,2.00,Moving,39.87
21,6,82.47,385.99,2.00,Moving,42.28
21,7,125.38,379.51,2.00,Moving,35.03
21,8,-10.33,426.89,0.45,Moving,36.47
21,9,31.09,427.68,0.51,Moving,41.43
21,10,76.27,446.40,1.70,Moving,47.91
21,11,122.24,432.93,2.00,Moving,47.91
22,0,-3.38,337.57,0.93,Moving,48.23
22,1,44.00,328.54,1.70,Moving,40.26
22,2,81.76,343.22,1.56,Moving,39.85
22,3,121.60,343.89,1.73,Moving,34.99
22,4,-17.44,391.10,0.36,Moving,36.76
22,5,44.22,368.80,2.00,Moving,40.26
22,6,84.24,385.06,2.00,Moving,41.92
22,7,127.08,378.45,2.00,Moving,34.99
22,8,-10.52,427.20,0.37,Moving,36.76
22,9,31.60,428.08,0.64,Moving,42.13
22,10,77.69,447.41,1.74,Moving,48.25
22,11,124.01,433.87,2.00,Moving,48.25
23,0,-2.79,336.80,0.97,Moving,49.08
23,1,45.42,327.57,1.71,Moving,40.55
23,2,83.37,342.66,1.70,Moving,39.40
23,3,122.77,342.76,1.62,Moving,35.15
23,4,-17.65,391.10,0.21,Moving,37.12
23,5,46.10,368.12,2.00,Moving,40.55
23,6,86.01,384.14,2.00,Moving,41.56
23,7,128.77,377.39,2.00,Moving,35.15
23,8,-10.57,427.53,0.33,Moving,37.12
23,9,32.26,428.50,0.78,Moving,42.84
23,10,79.24,448.32,1.80,Moving,48.46
23,11,125.77,434.81,2.00,Moving,48.46
24,0,-2.06,336.07,1.03,Moving,49.87
24,1,46.93,326.71,1.74,Moving,40.73
24,2,85.13,342.09,1.85,Moving,38.93
24,3,124.06,341.71,1.67,Moving,35.22
24,4,-17.72,391.05,0.08,Moving,37.54
24,5,47.98,367.43,2.00,Moving,40.73
24,6,87.79,383.21,2.00,Moving,41.21
24,7,130.47,376.34,2.00,Moving,35.22
24,8,-10.46,427.89,0.37,Moving,37.54
24,9,33.06,428.95,0.92,Moving,43.54
24,10,80.90,449.14,1.86,Moving,48.52
24,11,127.54,435.75,2.00,Moving,48.52
25,0,-1.18,335.38,1.11,Moving,50.61
25,1,48.55,325.96,1.78,Moving,40.80
25,2,87.04,341.51,2.00,Moving,38.45
25,3,125.48,340.73,1.72,Moving,35.19
25,4,-17.64,390.96,0.12,Moving,38.03
25,5,49.86,366.74,2.00,Moving,40.80
25,6,89.56,382.29,2.00,Moving,40.86
25,7,132.17,375.28,2.00,Moving,35.19
25,8,-10.21,428.26,0.45,Moving,38.03
25,9,34.01,429.44,1.07,Moving,44.24
25,10,82.69,449.88,1.93,Moving,48.45
25,11,129.30,436.69,2.00,Moving,48.45
26,0,-0.16,334.73,1.21,Moving,51.30
26,1,50.27,325.32,1.83,Moving,40.76
26,2,88.95,340.92,2.00,Moving,38.10
26,3,127.03,339.83,1.79,Moving,35.06
26,4,-17.42,390.82,0.26,Moving,38.59
26,5,51.74,366.06,2.00,Moving,40.76
26,6,91.33,381.37,2.00,Moving,40.51
26,7,133.87,374.22,2.00,Moving,35.06
26,8,-9.81,428.65,0.56,Moving,38.59
26,9,35.11,429.95,1.21,Moving,44.94
26,10,84.58,450.52,2.00,Moving,48.24
26,11,131.07,437.63,2.00,Moving,48.24
27,0,1.00,334.13,1.31,Moving,51.93
27,1,52.09,324.79,1.89,Moving,40.61
27,2,90.86,340.34,2.00,Moving,37.87
27,3,128.71,339.02,1.87,Moving,34.83
27,4,-17.06,390.63,0.41,Moving,39.21
27,5,53.62,365.37,2.00,Moving,40.61
27,6,93.11,380.44,2.00,Moving,40.17
27,7,135.57,373.17,2.00,Moving,34.83
27,8,-9.26,429.06,0.69,Moving,39.21
27,9,36.36,430.50,1.36,Moving,45.64
27,10,86.47,451.17,2.00,Moving,48.04
27,11,132.83,438.57,2.00,Moving,48.04
28,0,2.31,333.56,1.42,Moving,52.51
28,1,54.01,324.37,1.96,Moving,40.34
28,2,92.77,339.75,2.00,Moving,37.38
28,3,130.12,338.06,1.71,Moving,34.79
28,4,-16.56,390.40,0.55,Moving,39.90
28,5,55.49,364.69,2.00,Moving,40.34
28,6,94.88,379.52,2.00,Moving,39.82
28,7,137.26,372.11,2.00,Moving,34.79
28,8,-8.56,429.48,0.82,Moving,39.90
28,9,37.75,431.07,1.51,Moving,46.34
28,10,88.36,451.82,2.00,Moving,47.84
28,11,134.60,439.51,2.00,Moving,47.84
29,0,3.76,333.05,1.54,Moving,52.99
29,1,55.97,324.01,2.00,Moving,40.02
29,2,94.69,339.17,2.00,Moving,36.64
29,3,131.26,336.96,1.59,Moving,34.95
29,4,-15.91,390.12,0.70,Moving,40.65
29,5,57.37,364.00,2.00,Moving,40.02
29,6,96.65,378.59,2.00,Moving,39.47
29,7,138.96,371.05,2.00,Moving,34.95
29,8,-7.72,429.93,0.96,Moving,40.65
29,9,39.29,431.67,1.65,Moving,47.04
29,10,90.26,452.46,2.00,Moving,47.65
29,11,136.37,440.45,2.00,Moving,47.65
30,0,5.36,332.57,1.66,Moving,53.33
30,1,57.94,323.64,2.00,Moving,39.69
30,2,96.60,338.59,2.00,Moving,36.14
30,3,132.61,335.49,1.99,Moving,35.43
30,4,-15.12,389.79,0.85,Moving,41.47
30,5,59.25,363.31,2.00,Moving,39.69
30,6,98.43,377.67,2.00,Moving,39.12
30,7,140.66,369.99,2.00,Moving,35.43
30,8,-6.72,430.40,1.10,Moving,41.47
30,9,40.98,432.30,1.80,Moving,47.73
30,10,92.15,453.11,2.00,Moving,47.45
30,11,138.13,441.39,2.00,Moving,47.45
31,0,7.10,332.14,1.79,Moving,53.55
31,1,59.91,323.28,2.00,Moving,39.37
31,2,98.51,338.00,2.00,Moving,35.89
31,3,134.23,334.54,1.88,Moving,35.34
